項目名稱,簡介,合資格類別,完成/預計 完成年份,項目總預算 (百萬港元),截至2024- 25年度的 開支 (百萬港元),獲分配的 綠債資金 (截至2025年 8月31日) (百萬港元) [按債券顯示]1,主要預期效益
離島污水收集 系統第2階段－ 擴展污水收集 系統至梅窩其 他未有污水 設施的鄉村,在鹿地塘建造一間設計容量 為每日約365立方米的污水 泵房，約300米長、直徑 150毫米的雙管污水泵喉， 以及約2.9公里長、直徑介乎 150毫米至250毫米的無壓 污水渠,水及廢水管理,2026,136,95,95 [B27: 95],•每日可處理365立方米污水 •預計約1 100人可受惠
提升新界東北 污水收集系統,在沙嶺及塘坊建造2間 設計容量分別為每日約 16 000立方米及6 000立方米 的污水泵房，提升7座現有 的污水泵房，建造約8.9公里 長的雙管污水泵喉，以及約 5.5公里長的單管污水泵喉， 建造約1.1公里長的無壓 污水渠,水及廢水管理,2027,826,350,350 [B28: 350],•改善公共衛生環境，以及河溪 和海港的水質 •預計約23 000人可受惠
長沙灣污水 主幹泵喉建造 及修復工程,建造約1.7公里長、直徑介乎 1 800毫米至2 000 毫米， 連接長沙灣污水泵房至位於 昂船洲的西北九龍基本污水 處理廠的單管污水主幹泵喉， 修復約1.6公里長、直徑介乎 1 800毫米至2 000毫米， 連接長沙灣污水泵房至位於 昂船洲的西北九龍基本污水處 理廠的現有雙管污水主幹泵喉,水及廢水管理,2030,"1,200",157,157 [B28: 157],•提高有關污水系統服務 的運作效率及穩定性 •預計約90萬西北九龍居民可受惠
離島污水收集 系統第2階段－ 坪洲鄉村污水 收集系統第2期 第1部分,為坪洲6個未鋪設污水 渠的地區（即南灣新村、 第一新村（部分）、圍仔井 新村、坪洲（中）、南灣山頂 村及東灣村）建造公共污水收 集系統，並把這些地區的污水 輸送至現有坪洲污水處理廠妥 為處理及排放,水及廢水管理,2023,134,56,35 [B32: 35],•減少坪洲水質污染 •預計約2 500人可受惠
牛尾海污水 收集系統第二 及第三階段 工程,為牛尾海7個未鋪設污水渠 的地區（即黃竹灣、窩美及 響鐘、井欄樹、心朗、大埔仔 及布袋澳）建造公共污水收集 系統，並把這些地區的污水 妥為處理及排放；以及沿 匡湖居至康健路之間的西貢 公路鋪設污水幹渠，把北圍、 北港及大涌口一帶的污水輸送 至現有的西貢污水處理廠作 適當處理後排放,水及廢水管理,2032,"1,348",791,756 [B28: 333 B29: 204 B32: 219],•減少污染物被排放到附近水體 •預計約22 950人可受惠
屯門北部鄉村 污水收集系統,為屯門北部4個未鋪設 污水渠的地區（福亨村（下）、 寶塘下、小坑村和紫田村） 建造公共污水收集系統，並把 這些地區的污水輸送至現有 望后石污水處理廠妥為處理及 排放,水及廢水管理,2024,431,301,294 [B20: 294],•減少污染物被排放到附近溪流 和海水 •預計約6 250人可受惠
牛潭尾濾水廠 擴展工程,就牛潭尾濾水廠及其擬議擴建 部分的濾水技術及運作，以及 其原水輸送及食水分配系統進 行詳細研究、詳細設計及實地 勘察，以配合擬增加的牛潭尾 濾水廠產水量,水及廢水管理,2028,137,68,68 [B22: 68],•每日濾水量於第一期擴展工程 增加210 000 立方米至 每日440 000 立方米，並最終增加 至每日640 000 立方米
瑪嘉烈醫院 荔景大樓擴建 計劃,興建一座總建築樓面面積約 為85 765 平方米的新擴建 大樓，以提升瑪嘉烈醫院的 醫療服務能力,綠色建築,2028,"6,052",662,630 [B22: 630],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
北區醫院擴建 計劃,興建一座總建築樓面面積約 為370 233平方米的新急症 大樓，以提升北區醫院的醫療 服務能力,綠色建築,2031,"35,131","2,651","2,589 [B22: 2,004 B23: 585]",•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省9.2%的能源消耗量
觀塘綜合發展 項目,興建高低兩座總建築樓面面積 約為84 400平方米的大樓。 高座用作公務員學院的長遠 院址和提供公務員支援設施， 低座則提供地方作一系列社區 和福利設施之用,綠色建築,2027,"4,545",654,654 [B23: 654],•預計將獲得綠建環評新建 建築2.0版鉑金級認證 •項目的節能裝置預計每年可 節省最少11%的能源消耗量
文物修復資源 中心,興建一座總建築樓面面積約 為44 980平方米的文物修復 資源中心，以支持文化藝術發 展，及更好服務社區的需要,綠色建築,2026,"2,594",329,315 [B23: 315],•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
四美街地區休憩 用地、體育館 及公眾停車場,在新蒲岡四美街興建總建築 樓面面積約為29 050 平方米 的多元化綜合設施，包括 啟德東體育館(啟德東)及 啟德東遊樂場，以提升和增加 休閒、娛樂和體育設施， 並提供應用自動泊車系統的 地下公共停車場空間,綠色建築,2026,"1,605",455,455 [B23: 455],•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
安達臣道 石礦場（地盤 G2）聯用大樓,在安達臣道石礦場興建總建築 樓面面積約為36 500 平方米 的聯用綜合大樓，由兩座分別 樓高三層及七層的建築物 組成，位於兩層地庫之上， 為居民提供運動、休閒、文化 及福利設施,綠色建築,2027,"2,025",262,262 [B23: 262],•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •項目的節能裝置預計每年可 節省11%的能源消耗量
九龍塘聯福道 2所特殊學校 校舍,興建一所設有12間課室的 輕度智障兒童特殊學校及一所 設有24間課室的輕度及中度 智障兒童特殊學校，總建築 樓面面積約為17 973平方米， 以應對九龍區輕度及中度智障 兒童學額預期不足的情況及紓 緩區內及全港中度智障兒童學 校宿位供不應求的問題,綠色建築,2026,780,218,218 [B23: 218],•獲得綠建環評新建建築1.2版 暫定金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量 •每年避免排放215.65公噸 二氧化碳當量的溫室氣體
青衣VTC航空 及航海教育 中心,興建一座樓高七層（不包括 天台）的新航空及航海教育 中心大樓，提供淨作業樓面 面積約9 395平方米，以支援 航空及航海業界人才發展，以 及改善本港職業專才教育設施,綠色建築,2025,862,449,449 [B24: 449],•獲得綠建環評新建建築1.2版 暫定金級認證 •項目的節能裝置預計每年可 節省6%的能源消耗量
香港中文大學 （中大）–綜合 科研實驗大樓 （第2座）,興建一座樓高九層（地庫樓層 不包括在內）的新科研實驗 大樓，總建築樓面面積約為 23 987平方米，為支援中大 在生命科學和生物醫學方面 研究提供所需的空間和 基礎設施,綠色建築,2025,"1,416",910,910 [B24: 910],•獲得綠建環評新建建築1.2版 暫定鉑金級認證 •能源消耗量減少約17.7%
香港大學 （港大）–大學道 2號重建工程 （一號樓）,在大學道興建一座樓高九層的 新科研實驗室大樓，提供淨 作業樓面面積約7 100平方米， 主要用戶為港大理學院和工程 學院,綠色建築,2025,600,547,547 [B24: 547],•獲得綠建環評新建建築2.0版 暫定鉑金級認證 •能源消耗量每年節省約5.5%
香港教育大學– 大埔校園內的 新教學大樓,興建一座樓高八層的新教學 大樓，總建築樓面面積約 14 753平方米，提供數碼 年代所需的現代化教研設施及 校園空間,綠色建築,2025,651,354,354 [B26: 354],•預計將獲得綠建環評新建 建築1.2版鉑金級認證 •能源消耗量每年減少約20.2%（教育） 及36.1%（停車場）
天水圍公眾 街市,在港鐵天水圍站旁的天福路 路段興建一座樓高三層架空 並設有空調系統的街市大樓 連綠化天台和室外園景花園 新公眾街市，總建築樓面面積 約22 317平方米，為居民 提供更多購買新鮮糧食的選擇,綠色建築,2027,"1,499",164,164 [B24: 164],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省最少10%的能源消耗量
將軍澳中醫 醫院,於將軍澳第7 8區興建中醫 醫院，總建築樓面面積約 159 000平方米，提供優質 的中醫藥服務，包括住院、 日間、門診和社區服務,綠色建築,2025,"8,620","3,492","3,492 [B24: 1,437 B25: 2,055]",•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省5.5%的能源消耗量
在將軍澳的 政府中藥檢測 中心,於將軍澳第78區興建政府 中藥檢測中心，總建築樓面 面積約27 600平方米，專責 中藥檢測科研工作，為中藥的 安全、品質及檢測方法建立 參考標準，並加強對中藥的 品質控制和鑒別的能力,綠色建築,2025,"2,005",865,865 [B28: 865],•目標獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省最少5.5%的能源消耗量
香港理工大學– 何文田斜坡 校園擴建工程,在理工大學興建一座樓高 11層的新教學及行政大樓， 總建築樓面面積約為 18 978平方米，為康復治療 科學系和眼科視光學院的學生 提供額外教學及研究設施,綠色建築,2027,"1,418",238,191 [B25: 191],•目標於2025第三季獲得綠建環評 新建建築2.0版暫定鉑金級認證 •項目的節能裝置預計每年可 節省14.6%的能源消耗量
幼稚園教育 中心（小西灣）,在小西灣興建一所專為幼稚 園學生而設的幼稚園教育 中心，總建築樓面面積約 7 200平方米，以提供有利 兒童進行遊戲和自由探索活動 的學習環境,綠色建築,2026,467,100,100 [B25: 100],•獲得綠建環評新建建築2.0版 暫定金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
位於高超道的 普通科門診 診所及兒童 體能智力測驗 中心,設置一所普通科門診診所及 重置一所兒童體能智力測驗 中心，總建築樓面面積約為 15 734平方米，以照顧觀塘 區居民對醫療服務的需要,綠色建築,2028,"1,029",68,68 [B25: 68],•獲得綠建環評新建建築1.2版 暫定金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
廣華醫院重建 計劃,重建新廣華醫院複合大樓， 總建築樓面面積約為 276 734平方米，以提升廣華 醫院的醫療服務能力,綠色建築,2029,"19,502","6,842","5,164 [B24: 510 B25: 486 B26: 4,129 B29: 39]",•第一期大樓獲得綠建環評新建建 築1.2版暫定金級認證，第二期 大樓預計將獲得綠建環評新建 建築1.2版金級認證 •第一期項目的節能裝置預計每年 可節省不少於6%的能源消耗量， 第二期項目的節能裝置則預計 每年可節省10%的能源消耗量
馬鞍山第103 區綜合設施 大樓,在馬鞍山第103區興建一座 綜合設施大樓，以滿足該區 社區的需求,綠色建築,2029,"2,963",100,100 [B26: 56 B36: 44],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省10.0%的能源消耗量
香港道教聯合會 雲泉學校校舍,建造一所設有30間課室的 小學，總建築樓面面積約 10 667平方米，以重置香港 道教聯合會雲泉學校,綠色建築,2024,370,301,301 [B26: 301],•獲得綠建環評新建建築1.2版 暫定金級認證 •項目的節能裝置預計每年可 節省6.0%的能源消耗量
中華基督教會 全完第一小學 校舍,建造一所設有30間課室的 小學，總建築樓面面積約 11 396平方米，以重置中華 基督教會全完第一小學,綠色建築,2024,393,357,357 [B31: 357],•獲得綠建環評新建建築1.2版 暫定金級認證 •二氧化碳排放減少約 40.1%（教育）及34.7%（停車場）
浸信會孔憲紹 天虹小學校舍,建造一所設有30間課室的 小學，總建築樓面面積約 11 440平方米，以重置 浸信會天虹小學,綠色建築,2026,438,202,202 [B27: 202],•預計將獲得綠建環評新建 建築1.2版金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
保良局蕭漢森 小學校舍,建造一所設有24間課室的 小學，總建築樓面面積約 9 530平方米，以重置保良局 蕭漢森小學,綠色建築,2024,365,324,324 [B29: 101 B30: 223],•獲得綠建環評新建建築2.0版 暫定金級認證 •項目的節能裝置預計每年可 節省6.1%的能源消耗量
迦密梁省德 學校校舍,建造一所設有30間課室的 小學，總建築樓面面積約 11 050平方米，以重置迦密 梁省德學校,綠色建築,2026,411,177,177 [B26: 138 B27: 39],•獲得綠建環評新建建築2.0版 暫定金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
五旬節聖潔會 永光小學校舍,建造一所設有36間課室的 小學，總建築樓面面積約 13 136平方米，以滿足大埔區 對公營小學學位的長遠需求,綠色建築,2024,427,415,415 [B29: 403 B35: 12],•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量每年節省約23.4%
安博官立小學 校舍及1 所 幼稚園,建造一所設有30間課室的 小學及一所設有6間課室的 幼稚園的共用校舍，總建築 樓面面積約13 700平方米， 以重置廣東道官立小學及增加 由政府擁有的幼稚園校舍,綠色建築,2025,484,252,252 [B31: 252],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
石門靈灰安置所 及紀念花園,興建一座樓高三層的骨灰 安置所大樓，提供約 40 000個骨灰龕位;及設有 廣闊草坪的紀念花園，供撒 放先人骨灰並提供可供安放 流產胎的設施,綠色建築,2025,860,547,524 [B29: 524],•獲得綠建環評新建建築1.2版 暫定金級認證 •能源消耗量減少約14.3%（機房、 電梯及衛浴區）及30.8%（壁龕和 公共區域），根據《建築物能源 效益守則2018》的標準，每年 最少可節省5%能源消耗量
歷史檔案中心,在安達臣道石礦場發展用地的 大上托山體內興建一個岩洞 建築羣及連接隧道，總面積 約6 500平方米，總體積約 190 000立方米。在岩洞內及 岩洞入口（佔地約2 000平方米） 建造一座樓高四層（洞內部 分為三層）的歷史檔案中心， 包括建造其建築結構及地基， 並進行屋宇裝備工程，以及 裝設自動倉貯存取系統、家具 及設備,綠色建築,2028,"2,774",346,346 [B27: 346],•預計將獲得綠建環評新建 建築2.0版鉑金級認證 •項目的節能裝置預計每年可 節省5%的能源消耗量
香港科技大學– 新科研樓1,在科技大學興建一座樓高八層 的新科研大樓，總建築樓面 面積約為9 414平方米，主要 為科學、工程、科技和創新等 多個領域的研究、產業合作和 轉化活動提供設施,綠色建築,2025,477,283,283 [B31: 283],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
香港科技大學– 新科研樓2,在科技大學興建一座樓高八層 的新科研大樓，總建築樓面 面積約為11 425平方米， 以供進行合成生物學領域的 研究和發展活動,綠色建築,2026,835,246,246 [B32: 246],•預計將獲得綠建環評新建 建築2.0版金級認證 •項目的節能裝置預計每年可 節省10%的能源消耗量
元朗防洪壩 計劃,在元朗明渠建造自動防洪 屏障、雨水泵房、總控制中心 及相關機電設施，以減低 元朗區水浸的風險。改建元朗 明渠，於元朗建造防洪牆及 排水道，以及活化一段元朗 明渠,適應氣候變化,2030,"3,783",694,694 [B27: 694],•提升排洪能力及紓緩元朗 市中心的水浸風險 •在非關鍵操作下促進后海灣 和元朗明渠的生態連貫性
尖沙咀雨水 排放系統改善 工程,在尖沙咀市政局百週年紀念 花園建造一個容量約 20 300立方米的地下雨水 蓄洪池、雨水泵房及相關 機電設施。在漆咸道南、 加連威老道、加連威老廣場 及金馬倫道建造約700米長、 直徑介乎600毫米至1 800毫米 的雨水渠及重置和優化休憩 用地及公共廁所,適應氣候變化,2027,953,427,427 [B28: 427],•提升排洪能力及紓緩有關地區的 水浸風險
觀塘雨水排放 系統改善工程－ 第1期,在觀塘秀雅道遊樂場建造一個 容量約64 000立方米的地下 雨水蓄洪池及相關機電設施。 在附近道路（包括協和街） 建造約185米長、直徑介乎 1 800毫米至3 000毫米的 雨水渠及重置和優化秀雅道 遊樂場,適應氣候變化,2028,938,304,304 [B21: 304],•提升排洪能力及紓緩有關地區的 水浸風險
元朗市明渠 改善工程（市區 中心段）,建造旱季截流系統，包括 一所設計為每日流量約 18 000立方米的泵房及長約 3.6公里、闊度介乎600毫米 至1 000 毫米的箱形暗渠與 旱季截流器，以及建造長約 600米、直徑350毫米的喉管; 加固一段長約一公里元朗明渠 (市區中心段)的結構;及活化 一段長約一公里位於朗屏站至 十八鄉路的元朗明渠,適應氣候變化,2030,857,175,175 [B23: 175],•將受污染的旱季流及地面徑流 引流至污水收集系統，並轉送 至元朗淨水設施作妥善處理
元朗區雨水排 放系統改善 工程,在大井圍、水咀新村、 何力背、大窩、山下村、 下輋、松山新村及蓮花地 興建排水道及雨水渠,適應氣候變化,2027,785,358,346 [B24: 160 B26: 186],•減低有關地區的水浸風險
北區雨水排放 系統改善工程－ 第一階段,在崗下及沙頭角市興建一所 容量約10 000立方米的地下 雨水蓄洪池和雨水泵房； 建造長約2.5公里、直徑介乎 600毫米至1.8米的雨水渠 及相關機電設施；以及長約 500米、高度約一米的 防洪牆。在石橋頭、坑頭、 啓芳園、古洞路及天平山村 近上水圍文閣村建造長約 670米、直徑介乎450毫米 至6米的排水道以及長約 1 370米、高度約一米的 防洪牆和長約870米、直徑介 乎600毫米至2.1米的雨水渠,適應氣候變化,2028,950,103,103 [B31: 103],•改善排水工程以應對因氣候變化 帶來的洪水風險
